Source Domain,Page URL,Error Code,Asset Type
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/whatsapp-image-2024-05-16-at-21-16-23.webp?fit=835%2C1024&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/whatsapp-image-2024-05-16-at-21-16-23.webp?w=881&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/whatsapp-image-2024-05-16-at-21-16-23.webp?resize=245%2C300&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/whatsapp-image-2024-05-16-at-21-16-23.webp?resize=835%2C1024&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://i0.wp.com/giridharimurtisculpture.com/wp-content/uploads/2024/05/Experience-the-real-taste-of-Purity.gif?fit=1200%2C628&ssl=1,429,unknown
http://giridharimurtisculpture.com,https://wp.eschoolapp.in/murti/h-h-bhakti-charu-swami-iskcon-guruand-gbc,0,unknown
http://giridharimurtisculpture.com,https://wp.eschoolapp.in/murti/108-shova-guru-maa-kathiya-baba-sampradai,0,unknown
http://hgil.in,https://i0.wp.com/wp.eschoolapp.in/harigovind/wp-content/uploads/sites/79/2015/10/photo.jpg?ssl=1,400,unknown
http://hgil.in,https://i0.wp.com/wp.eschoolapp.in/harigovind/wp-content/uploads/sites/79/2015/10/photo.jpg?resize=220%2C150,400,unknown
http://himalayaintercollege.com,https://himalayaintercollege.com/xmlrpc.php,405,unknown
http://himalayaintercollege.com,https://wp.eschoolapp.in/hic/wp-content/uploads/sites/93/2017/01/chander-sing-300x300.jpg,0,unknown
http://himalayaintercollege.com,https://wp.eschoolapp.in/hic/wp-content/uploads/sites/93/2017/01/dev-bala-300x300.jpg,0,unknown
http://himalayaintercollege.com,https://wp.eschoolapp.in/hic/wp-content/uploads/sites/93/2017/01/prakash-karki-300x300.jpg,0,unknown
http://himalayaintercollege.com,https://wp.eschoolapp.in/hic/wp-content/uploads/sites/93/2017/01/bhupendra-sing-papola-300x300.jpg,0,unknown
http://idcards.eschoolapp.in,https://idcards.eschoolapp.in/xmlrpc.php,405,unknown
http://idcards.eschoolapp.in,https://wp.eschoolapp.in/bui/contact/,0,unknown
http://ijhacademy.com,http://fonts.googleapis.com/css?family&ver=1.4.6,400,unknown
http://ijhacademy.com,https://ijhacademy.com/xmlrpc.php,405,unknown
http://ijhacademy.com,https://ijhacademy.com/courses/?feed=rss2,404,unknown
http://ishaan.dhanuka.info,https://ishaan.dhanuka.info/xmlrpc.php,405,unknown
http://jollymemorialmissionschoolujjain.com,https://jollymemorialmissionschoolujjain.com/xmlrpc.php,405,unknown
http://kadambinichildrensacademy.com,https://kadambinichildrensacademy.com/xmlrpc.php,405,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/07/whatsapp_image_2024-04-02_at_17-30-16-removebg-preview.webp?fit=180%2C180&ssl=1,429,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/07/whatsapp_image_2024-04-02_at_17-30-16-removebg-preview.webp?fit=500%2C500&ssl=1,429,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/04/whatsapp-image-2023-12-15-at-15-27-40.webp?fit=1280%2C963&ssl=1,429,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/04/img_20231222_132430_769-scaled-1.webp?fit=2000%2C1500&ssl=1,429,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/04/whatsapp-image-2023-08-15-at-14-01-39.webp?fit=1046%2C1280&ssl=1,429,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/04/whatsapp-image-2023-08-15-at-13-59-47.webp?fit=1160%2C868&ssl=1,429,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/04/img_20231219_135640_193-scaled-1.webp?fit=2000%2C1500&ssl=1,429,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/04/img_20231222_122843_128-scaled-1.webp?fit=2000%2C1500&ssl=1,429,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/04/whatsapp-image-2023-08-15-at-13-52-13.webp?fit=868%2C1160&ssl=1,429,unknown
http://keninternationalschool.in,https://keninternationalschool.in/xmlrpc.php,405,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/04/huge-2.webp?fit=300%2C300&ssl=1,429,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/04/huge-2.webp?w=300&ssl=1,429,unknown
http://keninternationalschool.in,https://i0.wp.com/keninternationalschool.in/wp-content/uploads/2024/04/huge-2.webp?resize=150%2C150&ssl=1,429,unknown
http://keninternationalschool.in,https://i0.wp.com/wp.eschoolapp.in/theme/wp-content/uploads/sites/360/2023/07/Untitled-design-2023-07-24T170409.280.png?w=800,400,unknown
http://keninternationalschool.in,https://i0.wp.com/wp.eschoolapp.in/theme/wp-content/uploads/sites/360/2023/07/typeelementor_siteurlhttpswp.eschoolapp.inthemewp-json_elements__id076a845_elTypewidget_isInnerfalse_isLockedfalse_settings_textClick__3_-removebg-preview.png?w=800,400,unknown
http://keninternationalschool.in,https://i0.wp.com/wp.eschoolapp.in/theme/wp-content/uploads/sites/360/2023/07/board.png?w=800,400,unknown
http://keninternationalschool.in,https://i0.wp.com/wp.eschoolapp.in/theme/wp-content/uploads/sites/360/2023/07/Untitled_design_-_2023-07-22T181917.283-removebg-preview.png?w=800,400,unknown
